,metric,sample,value,cell_type_level,cell_type,hierarchy
4,precision,NL09,0.9697590978985136,cell_type_level_1,Monocyte,final_gate_1
5,recall,NL01,0.9524758110415481,cell_type_level_1,Monocyte,final_gate_1
6,recall,NL03,0.8488138319260152,cell_type_level_1,Monocyte,final_gate_1
7,recall,NL05,0.8872128899554337,cell_type_level_1,Monocyte,final_gate_1
8,recall,NL07,0.9513343799058085,cell_type_level_1,Monocyte,final_gate_1
9,recall,NL09,0.8568840579710145,cell_type_level_1,Monocyte,final_gate_1
10,f1score,NL01,0.9701449275362319,cell_type_level_1,Monocyte,final_gate_1
11,f1score,NL03,0.9048435490784398,cell_type_level_1,Monocyte,final_gate_1
12,f1score,NL05,0.9017421602787457,cell_type_level_1,Monocyte,final_gate_1
13,f1score,NL07,0.9588607594936709,cell_type_level_1,Monocyte,final_gate_1
14,f1score,NL09,0.9098340947343111,cell_type_level_1,Monocyte,final_gate_1
0,precision,NL01,0.9899259259259259,cell_type_level_1,Monocyte,final_gate_2
1,precision,NL03,0.9817927170868347,cell_type_level_1,Monocyte,final_gate_2
2,precision,NL05,0.9699135013162843,cell_type_level_1,Monocyte,final_gate_2
3,precision,NL07,0.9725363489499192,cell_type_level_1,Monocyte,final_gate_2
4,precision,NL09,0.9786569495054659,cell_type_level_1,Monocyte,final_gate_2
5,recall,NL01,0.9507683551508253,cell_type_level_1,Monocyte,final_gate_2
6,recall,NL03,0.8455971049457177,cell_type_level_1,Monocyte,final_gate_2
7,recall,NL05,0.884127528282482,cell_type_level_1,Monocyte,final_gate_2
8,recall,NL07,0.945054945054945,cell_type_level_1,Monocyte,final_gate_2
9,recall,NL09,0.8514492753623188,cell_type_level_1,Monocyte,final_gate_2
10,f1score,NL01,0.9699520975468137,cell_type_level_1,Monocyte,final_gate_2
11,f1score,NL03,0.9086195722618277,cell_type_level_1,Monocyte,final_gate_2
12,f1score,NL05,0.9250358680057389,cell_type_level_1,Monocyte,final_gate_2
13,f1score,NL07,0.9585987261146497,cell_type_level_1,Monocyte,final_gate_2
14,f1score,NL09,0.9106321143133931,cell_type_level_1,Monocyte,final_gate_2
0,precision,NL01,0.9898688915375446,cell_type_level_1,Monocyte,final_gate_3
1,precision,NL03,0.9813218390804598,cell_type_level_1,Monocyte,final_gate_3
2,precision,NL05,0.9696509863429439,cell_type_level_1,Monocyte,final_gate_3
3,precision,NL07,0.9717607973421927,cell_type_level_1,Monocyte,final_gate_3
4,precision,NL09,0.9780160857908847,cell_type_level_1,Monocyte,final_gate_3
5,recall,NL01,0.9453614114968697,cell_type_level_1,Monocyte,final_gate_3
6,recall,NL03,0.8238841978287093,cell_type_level_1,Monocyte,final_gate_3
7,recall,NL05,0.8762427151182722,cell_type_level_1,Monocyte,final_gate_3
8,recall,NL07,0.9183673469387755,cell_type_level_1,Monocyte,final_gate_3
9,recall,NL09,0.8260869565217391,cell_type_level_1,Monocyte,final_gate_3
10,f1score,NL01,0.9671033478893741,cell_type_level_1,Monocyte,final_gate_3
11,f1score,NL03,0.8957377049180327,cell_type_level_1,Monocyte,final_gate_3
12,f1score,NL05,0.920583468395462,cell_type_level_1,Monocyte,final_gate_3
13,f1score,NL07,0.9443099273607748,cell_type_level_1,Monocyte,final_gate_3
14,f1score,NL09,0.8956543088632457,cell_type_level_1,Monocyte,final_gate_3
0,precision,NL01,0.9906794948887553,cell_type_level_1,Monocyte,final_gate_4
1,precision,NL03,0.9888077858880778,cell_type_level_1,Monocyte,final_gate_4
2,precision,NL05,0.9721161191749427,cell_type_level_1,Monocyte,final_gate_4
3,precision,NL07,0.9881756756756757,cell_type_level_1,Monocyte,final_gate_4
4,precision,NL09,0.9811422413793104,cell_type_level_1,Monocyte,final_gate_4
5,recall,NL01,0.937677859988617,cell_type_level_1,Monocyte,final_gate_4
6,recall,NL03,0.817048652995577,cell_type_level_1,Monocyte,final_gate_4
7,recall,NL05,0.8724717175179979,cell_type_level_1,Monocyte,final_gate_4
8,recall,NL07,0.9183673469387755,cell_type_level_1,Monocyte,final_gate_4
9,recall,NL09,0.8247282608695652,cell_type_level_1,Monocyte,final_gate_4
10,f1score,NL01,0.9634502923976608,cell_type_level_1,Monocyte,final_gate_4
11,f1score,NL03,0.8947600176133862,cell_type_level_1,Monocyte,final_gate_4
12,f1score,NL05,0.919602529358627,cell_type_level_1,Monocyte,final_gate_4
13,f1score,NL07,0.951993490642799,cell_type_level_1,Monocyte,final_gate_4
14,f1score,NL09,0.8961614173228347,cell_type_level_1,Monocyte,final_gate_4
0,precision,NL01,0.9924448473859172,cell_type_level_1,Monocyte,final_gate_5
1,precision,NL03,0.9902439024390244,cell_type_level_1,Monocyte,final_gate_5
2,precision,NL05,0.9747029513223457,cell_type_level_1,Monocyte,final_gate_5
3,precision,NL07,0.988155668358714,cell_type_level_1,Monocyte,final_gate_5
4,precision,NL09,0.9869918699186991,cell_type_level_1,Monocyte,final_gate_5
5,recall,NL01,0.9345475241889585,cell_type_level_1,Monocyte,final_gate_5
6,recall,NL03,0.8162444712505026,cell_type_level_1,Monocyte,final_gate_5
7,recall,NL05,0.8717860815906754,cell_type_level_1,Monocyte,final_gate_5
8,recall,NL07,0.9167974882260597,cell_type_level_1,Monocyte,final_gate_5
9,recall,NL09,0.8247282608695652,cell_type_level_1,Monocyte,final_gate_5
10,f1score,NL01,0.9626264106697934,cell_type_level_1,Monocyte,final_gate_5
11,f1score,NL03,0.8948644478730439,cell_type_level_1,Monocyte,final_gate_5
12,f1score,NL05,0.920376402461093,cell_type_level_1,Monocyte,final_gate_5
13,f1score,NL07,0.9511400651465798,cell_type_level_1,Monocyte,final_gate_5
14,f1score,NL09,0.8985936343449297,cell_type_level_1,Monocyte,final_gate_5
0,precision,NL01,0.6187538556446638,cell_type_level_1,NK cell,final_gate_1
1,precision,NL03,0.7283950617283951,cell_type_level_1,NK cell,final_gate_1
2,precision,NL05,0.5661648177496038,cell_type_level_1,NK cell,final_gate_1
3,precision,NL07,0.6820175438596491,cell_type_level_1,NK cell,final_gate_1
4,precision,NL09,0.7862426035502958,cell_type_level_1,NK cell,final_gate_1
5,recall,NL01,0.8141233766233766,cell_type_level_1,NK cell,final_gate_1
6,recall,NL03,0.8058194774346793,cell_type_level_1,NK cell,final_gate_1
7,recall,NL05,0.8156392694063926,cell_type_level_1,NK cell,final_gate_1
8,recall,NL07,0.929745889387145,cell_type_level_1,NK cell,final_gate_1
9,recall,NL09,0.9407079646017699,cell_type_level_1,NK cell,final_gate_1
10,f1score,NL01,0.7031195233087979,cell_type_level_1,NK cell,final_gate_1
11,f1score,NL03,0.765153650972653,cell_type_level_1,NK cell,final_gate_1
12,f1score,NL05,0.6683816651075771,cell_type_level_1,NK cell,final_gate_1
13,f1score,NL07,0.7868437697659708,cell_type_level_1,NK cell,final_gate_1
14,f1score,NL09,0.8565672844480258,cell_type_level_1,NK cell,final_gate_1
0,precision,NL01,0.6837972876516774,cell_type_level_1,NK cell,final_gate_2
1,precision,NL03,0.9612167300380228,cell_type_level_1,NK cell,final_gate_2
2,precision,NL05,0.8072590738423029,cell_type_level_1,NK cell,final_gate_2
3,precision,NL07,0.9812606473594548,cell_type_level_1,NK cell,final_gate_2
4,precision,NL09,0.9123809523809524,cell_type_level_1,NK cell,final_gate_2
5,recall,NL01,0.7775974025974026,cell_type_level_1,NK cell,final_gate_2
6,recall,NL03,0.7505938242280285,cell_type_level_1,NK cell,final_gate_2
7,recall,NL05,0.7363013698630136,cell_type_level_1,NK cell,final_gate_2
8,recall,NL07,0.8609865470852018,cell_type_level_1,NK cell,final_gate_2
9,recall,NL09,0.8477876106194691,cell_type_level_1,NK cell,final_gate_2
10,f1score,NL01,0.7276870489935435,cell_type_level_1,NK cell,final_gate_2
11,f1score,NL03,0.8429476492164055,cell_type_level_1,NK cell,final_gate_2
12,f1score,NL05,0.7701492537313432,cell_type_level_1,NK cell,final_gate_2
13,f1score,NL07,0.9171974522292994,cell_type_level_1,NK cell,final_gate_2
14,f1score,NL09,0.8788990825688073,cell_type_level_1,NK cell,final_gate_2
0,precision,NL01,0.9989561586638831,cell_type_level_1,NK cell,final_gate_3
1,precision,NL03,1.0,cell_type_level_1,NK cell,final_gate_3
2,precision,NL05,0.9992229992229992,cell_type_level_1,NK cell,final_gate_3
3,precision,NL07,1.0,cell_type_level_1,NK cell,final_gate_3
4,precision,NL09,1.0,cell_type_level_1,NK cell,final_gate_3
5,recall,NL01,0.7767857142857143,cell_type_level_1,NK cell,final_gate_3
6,recall,NL03,0.747624703087886,cell_type_level_1,NK cell,final_gate_3
7,recall,NL05,0.7340182648401826,cell_type_level_1,NK cell,final_gate_3
8,recall,NL07,0.8579970104633782,cell_type_level_1,NK cell,final_gate_3
9,recall,NL09,0.8433628318584071,cell_type_level_1,NK cell,final_gate_3
10,f1score,NL01,0.873972602739726,cell_type_level_1,NK cell,final_gate_3
11,f1score,NL03,0.8555895344886171,cell_type_level_1,NK cell,final_gate_3
12,f1score,NL05,0.8463310299440605,cell_type_level_1,NK cell,final_gate_3
13,f1score,NL07,0.9235720032180209,cell_type_level_1,NK cell,final_gate_3
14,f1score,NL09,0.9150264042246761,cell_type_level_1,NK cell,final_gate_3
0,precision,NL01,1.0,cell_type_level_1,NK cell,final_gate_4
1,precision,NL03,1.0,cell_type_level_1,NK cell,final_gate_4
2,precision,NL05,0.9992125984251968,cell_type_level_1,NK cell,final_gate_4
3,precision,NL07,1.0,cell_type_level_1,NK cell,final_gate_4
4,precision,NL09,1.0,cell_type_level_1,NK cell,final_gate_4
5,recall,NL01,0.7573051948051948,cell_type_level_1,NK cell,final_gate_4
6,recall,NL03,0.732185273159145,cell_type_level_1,NK cell,final_gate_4
7,recall,NL05,0.7243150684931506,cell_type_level_1,NK cell,final_gate_4
8,recall,NL07,0.8460388639760837,cell_type_level_1,NK cell,final_gate_4
9,recall,NL09,0.8309734513274336,cell_type_level_1,NK cell,final_gate_4
10,f1score,NL01,0.8618937644341801,cell_type_level_1,NK cell,final_gate_4
11,f1score,NL03,0.8453890983887556,cell_type_level_1,NK cell,final_gate_4
12,f1score,NL05,0.8398411647915287,cell_type_level_1,NK cell,final_gate_4
13,f1score,NL07,0.9165991902834009,cell_type_level_1,NK cell,final_gate_4
14,f1score,NL09,0.9076848719188013,cell_type_level_1,NK cell,final_gate_4
0,precision,NL01,1.0,cell_type_level_1,NK cell,final_gate_5
1,precision,NL03,1.0,cell_type_level_1,NK cell,final_gate_5
2,precision,NL05,0.9992082343626286,cell_type_level_1,NK cell,final_gate_5
3,precision,NL07,1.0,cell_type_level_1,NK cell,final_gate_5
4,precision,NL09,1.0,cell_type_level_1,NK cell,final_gate_5
5,recall,NL01,0.7556818181818182,cell_type_level_1,NK cell,final_gate_5
6,recall,NL03,0.7309976247030879,cell_type_level_1,NK cell,final_gate_5
7,recall,NL05,0.7203196347031964,cell_type_level_1,NK cell,final_gate_5
8,recall,NL07,0.8460388639760837,cell_type_level_1,NK cell,final_gate_5
9,recall,NL09,0.8283185840707965,cell_type_level_1,NK cell,final_gate_5
10,f1score,NL01,0.86084142394822,cell_type_level_1,NK cell,final_gate_5
11,f1score,NL03,0.8445969125214409,cell_type_level_1,NK cell,final_gate_5
12,f1score,NL05,0.8371475953565507,cell_type_level_1,NK cell,final_gate_5
13,f1score,NL07,0.9165991902834009,cell_type_level_1,NK cell,final_gate_5
14,f1score,NL09,0.9060987415295256,cell_type_level_1,NK cell,final_gate_5
0,precision,NL01,0.9434306569343066,cell_type_level_1,T cell,final_gate_1
1,precision,NL03,0.9323147222618877,cell_type_level_1,T cell,final_gate_1
2,precision,NL05,0.9146059420032023,cell_type_level_1,T cell,final_gate_1
3,precision,NL07,0.9295774647887324,cell_type_level_1,T cell,final_gate_1
4,precision,NL09,0.9321793416572077,cell_type_level_1,T cell,final_gate_1
5,recall,NL01,0.927429876060013,cell_type_level_1,T cell,final_gate_1
6,recall,NL03,0.9859559045605557,cell_type_level_1,T cell,final_gate_1
7,recall,NL05,0.9902725609168833,cell_type_level_1,T cell,final_gate_1
